	nr_private_hits	nr_public_hits
LivMet_87	0.022644927536231884	0.09510869565217392
LivMet_93	0.028846153846153848	0.1064102564102564
LivMet_44	0.033668341708542715	0.11608040201005025
LivMet_50	0.0193621867881549	0.09339407744874716
LivMet_78	0.018544935805991442	0.08930099857346648
LivMet_79	0.0196078431372549	0.12885154061624648
LivMet_51	0.015142690739662202	0.10308677926616192
LivMet_45	0.027306967984934087	0.10546139359698682
LivMet_92	0.02247191011235955	0.11644535240040858
LivMet_86	0.02857142857142857	0.1076923076923077
LivMet_90	0.014090343970161625	0.08537090758392044
LivMet_84	0.025454545454545455	0.11454545454545455
LivMet_53	0.01676509811392646	0.08592112783387312
LivMet_47	0.01755175517551755	0.09360936093609361
LivMet_46	0.016158648549394052	0.0892398090341535
LivMet_52	0.033783783783783786	0.18243243243243243
LivMet_85	0.01771274547554871	0.08009241432422025
LivMet_91	0.020450606585788563	0.0949740034662045
LivMet_81	0.017050298380221655	0.12020460358056266
LivMet_56	0.021875	0.090625
LivMet_42	0.02195121951219512	0.10853658536585366
LivMet_43	0.03103448275862069	0.12528735632183907
LivMet_57	0.014134275618374558	0.09069493521790342
LivMet_80	0.015503875968992248	0.08688630490956073
LivMet_82	0.014106583072100314	0.08816614420062696
LivMet_69	0.021445591739475776	0.09849086576648133
LivMet_41	0.023344328850545548	0.09667597056584623
LivMet_55	0.0660377358490566	0.15566037735849056
LivMet_54	0.021566401816118047	0.10102156640181612
LivMet_40	0.027851458885941646	0.09283819628647215
LivMet_68	0.020300446609825416	0.08160779537149818
LivMet_83	0.019001701644923426	0.08876914350538855
LivMet_27	0.018722466960352423	0.08259911894273128
LivMet_33	0.014908890115958034	0.09387078961899503
LivMet_1	0.020928116469517744	0.09372156505914468
LivMet_32	0.01753507014028056	0.09418837675350701
LivMet_26	0.014164305949008499	0.09348441926345609
LivMet_30	0.020035356511490868	0.10135533294048321
LivMet_24	0.03877551020408163	0.09030612244897959
LivMet_18	0.017857142857142856	0.10551948051948051
LivMet_3	0.013592233009708738	0.1029126213592233
LivMet_2	0.021174205967276226	0.1039461020211742
LivMet_19	0.015111695137976347	0.07621550591327202
LivMet_25	0.027182435964453737	0.11238891792995295
LivMet_31	0.019881783987103708	0.09779688339602365
LivMet_35	0.025011579434923575	0.10236220472440945
LivMet_6	0.015399737876802096	0.0910878112712975
LivMet_7	0.011246485473289597	0.09465791940018745
LivMet_20	0.01929260450160772	0.1189710610932476
LivMet_34	0.017652671755725192	0.08730916030534351
LivMet_22	0.01633333333333333	0.10633333333333334
LivMet_36	0.02181818181818182	0.09818181818181818
LivMet_5	0.021775544388609715	0.11892797319932999
LivMet_4	0.02807486631016043	0.09926470588235294
LivMet_37	0.01296111665004985	0.09272183449651047
LivMet_23	0.017326732673267328	0.09653465346534654
LivMet_12	0.01657339647008179	0.08136030994403788
LivMet_9	0.021078157060249954	0.09270658459242678
LivMet_8	0.016129032258064516	0.09274193548387097
LivMet_13	0.023587652882935354	0.1019219569015725
LivMet_11	0.01556420233463035	0.0914396887159533
LivMet_39	0.02488593944421402	0.0991289921194525
LivMet_38	0.02	0.10466666666666667
LivMet_10	0.01485655737704918	0.0940061475409836
LivMet_28	0.01557632398753894	0.11941848390446522
LivMet_14	0.022743177046885936	0.08852344296710987
LivMet_15	0.024029574861367836	0.09149722735674677
LivMet_29	0.02100840336134454	0.10210084033613445
LivMet_17	0.013245033112582781	0.08609271523178808
LivMet_16	0.003992015968063872	0.07784431137724551
LivMet_65	0.014780531501940877	0.074499850701702
LivMet_71	0.02485089463220676	0.10139165009940358
LivMet_59	0.008191126279863481	0.10443686006825939
LivMet_58	0.013565891472868217	0.09108527131782945
LivMet_70	0.019836639439906652	0.09918319719953325
LivMet_64	0.0199501246882793	0.10224438902743142
LivMet_72	0.0330188679245283	0.11320754716981132
LivMet_66	0.01963372380795248	0.07820491668041578
LivMet_67	0.021237864077669904	0.09132281553398058
LivMet_73	0.03248730964467005	0.09949238578680203
LivMet_88	0.01296043656207367	0.09140518417462483
LivMet_77	0.014743263853584139	0.08998474834773768
LivMet_63	0.01948051948051948	0.1461038961038961
LivMet_62	0.030732860520094562	0.10874704491725769
LivMet_76	0.019254813703425855	0.09052263065766442
LivMet_89	0.027956003666361137	0.09899175068744272
LivMet_48	0.029045643153526972	0.12033195020746888
LivMet_60	0.024305555555555556	0.13194444444444445
LivMet_74	0.012165450121654502	0.08326574749932414
LivMet_75	0.02553191489361702	0.11404255319148936
LivMet_61	0.018231540565177756	0.10118505013673655
LivMet_49	0.014660965180207697	0.10384850335980451
