	nr_nodes	fraction
0	1319	0.030326004548900682
1	1965	0.04885496183206107
2	2351	0.04636324968098681
3	2778	0.04463642908567315
4	2907	0.06467148262813897
5	3006	0.054890219560878244
6	3392	0.06662735849056604
7	4818	0.09277708592777086
8	4955	0.07769929364278506
9	5340	0.08071161048689139
10	5757	0.08980371721382664
11	5943	0.0873296314992428
12	6852	0.1061004086398132
13	7661	0.09763738415350476
14	7725	0.1196116504854369
15	7927	0.09688406711240066
16	8042	0.09251429992539169
17	8117	0.10213132930885795
18	8611	0.10997561258854953
19	8630	0.10173812282734647
20	8631	0.11586142973004288
21	8639	0.09214029401551105
22	9129	0.09771059261693504
23	9218	0.12410501193317422
24	9344	0.1363441780821918
25	9525	0.1158005249343832
26	9702	0.15120593692022263
27	9812	0.15552384834896046
28	9870	0.11347517730496454
29	9960	0.1502008032128514
30	10019	0.1489170575905779
31	10109	0.12929073103175387
32	10319	0.15282488613237716
33	10505	0.12127558305568777
34	11017	0.13515476082418082
35	11049	0.13422029142908862
36	11518	0.14360131967355444
37	11762	0.12259819758544466
38	12054	0.12858802057408328
39	13426	0.1411440488604201
40	13451	0.16764552821351572
41	13775	0.20188747731397458
42	14343	0.19598410374398662
43	16050	0.1632398753894081
44	16371	0.1710341457455256
45	16699	0.18522067189652075
46	16861	0.18954984876341854
47	17559	0.2589555213850447
48	17657	0.2200260519907119
49	17894	0.2493573264781491
50	18256	0.269226555652936
51	18312	0.21614242027086064
52	18417	0.2422761578975946
53	19481	0.23715415019762845
54	19850	0.21954659949622166
55	21058	0.23283312755247412
56	21420	0.2357142857142857
57	22096	0.2516292541636495
58	22620	0.22714412024756853
59	22865	0.2753990815657118
60	23386	0.2637047806379885
61	24057	0.2364384586606809
62	24574	0.24810775616505248
63	24700	0.3351012145748988
64	27105	0.29931746910164175
65	27690	0.2721198988804623
66	28176	0.2972742759795571
67	28692	0.25320646870207725
68	28876	0.28764371796647736
69	29125	0.48937339055793994
70	30981	0.31312740066492367
71	32153	0.3294871396137219
72	32835	0.3590071569971067
73	32933	0.31138979139464973
74	33462	0.3193174347020501
75	34053	0.3071095057704167
76	34849	0.3881603489339723
77	36617	0.3760275281972854
78	37028	0.3459274062871341
79	37244	0.49817420255611644
80	44265	0.4246018298881735
81	49271	0.5196768890422357
82	51189	0.46607669616519176
83	56637	0.570898882356057
84	62808	0.5693383008533944
